2016-10-10 09:22:46,237 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: CSE545-SS:CSE545-SS:0.0.1-SNAPSHOT @ /media/rakesh/Movies _and_softwares/Linux/Eclipse/Workspace/secure-banking-system/pom.xml.
2016-10-10 09:22:46,237 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: CSE545-SS:CSE545-SS:0.0.1-SNAPSHOT @ /media/rakesh/Movies _and_softwares/Linux/Eclipse/Workspace/secure-banking-system/pom.xml.
2016-10-10 09:22:49,488 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-10 09:22:49,505 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /media/rakesh/Movies _and_softwares/Linux/Eclipse/Workspace/secure-banking-system/src/main/resources
2016-10-10 09:22:49,511 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-10 09:22:49,513 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /media/rakesh/Movies _and_softwares/Linux/Eclipse/Workspace/secure-banking-system/src/test/resources
2016-10-10 09:22:50,328 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-10 09:22:50,332 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /media/rakesh/Movies _and_softwares/Linux/Eclipse/Workspace/secure-banking-system/src/main/resources
2016-10-10 09:22:50,336 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-10 09:22:50,337 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /media/rakesh/Movies _and_softwares/Linux/Eclipse/Workspace/secure-banking-system/src/test/resources
2016-10-10 09:22:51,248 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: CSE545-SS:CSE545-SS:0.0.1-SNAPSHOT @ /media/rakesh/Movies _and_softwares/Linux/Eclipse/Workspace/secure-banking-system/pom.xml.
2016-10-10 09:23:00,771 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-10 09:23:00,774 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /media/rakesh/Movies _and_softwares/Linux/Eclipse/Workspace/secure-banking-system/src/main/resources
2016-10-10 09:23:00,778 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-10 09:23:00,778 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /media/rakesh/Movies _and_softwares/Linux/Eclipse/Workspace/secure-banking-system/src/test/resources
